collect_id,school_id,student_id,gateway,order_amount,transaction_amount,status,custom_order_id,bank_reference,transaction_date
C1001,SCH001,STU001,PhonePe,2000,2200,Success,ORD1234,YESBNK222,2024-10-12
C1002,SCH002,STU002,GPay,1500,1500,Pending,ORD1235,HDFCBANK123,2023-09-25
C1003,SCH019,STU003,GPay,1751,1951,Failed,ORD1237,ICICIBANK468,2023-11-19
C1004,SCH019,STU004,AmazonPay,3277,3327,Success,ORD1238,ICICIBANK138,2024-05-06
C1005,SCH016,STU005,Paytm,3026,3076,Success,ORD1239,AXISBANK760,2025-03-14
C1006,SCH019,STU006,AmazonPay,2497,2547,Failed,ORD1240,SBIN772,2024-01-29
C1007,SCH012,STU007,Paytm,4711,4711,Success,ORD1241,ICICIBANK965,2024-08-13
C1008,SCH012,STU008,Paytm,2691,2791,Success,ORD1242,ICICIBANK171,2023-07-02
C1009,SCH002,STU009,Paytm,3757,3957,Success,ORD1243,HDFCBANK234,2025-01-20
C1010,SCH005,STU010,PhonePe,2820,2820,Failed,ORD1244,HDFCBANK355,2023-03-18
C1011,SCH013,STU011,GPay,4842,4842,Failed,ORD1245,SBIN547,2023-12-04
C1012,SCH005,STU012,PhonePe,3197,3247,Pending,ORD1246,HDFCBANK780,2024-03-27
C1013,SCH006,STU013,GPay,4130,4130,Success,ORD1247,YESBNK640,2024-06-10
C1014,SCH006,STU014,Paytm,3258,3358,Failed,ORD1248,SBIN275,2024-09-22
C1015,SCH017,STU015,GPay,1326,1326,Pending,ORD1249,SBIN261,2023-02-10
C1016,SCH012,STU016,PhonePe,3929,4029,Success,ORD1250,YESBNK510,2024-12-14
C1017,SCH007,STU017,PhonePe,4800,4800,Pending,ORD1251,SBIN311,2023-06-05
C1018,SCH006,STU018,PhonePe,3316,3366,Pending,ORD1252,AXISBANK476,2023-10-07
C1019,SCH008,STU019,PhonePe,1906,1906,Failed,ORD1253,AXISBANK363,2024-11-17
C1020,SCH020,STU020,GPay,2458,2508,Failed,ORD1254,YESBNK695,2024-04-01
C1021,SCH020,STU021,Paytm,1479,1579,Pending,ORD1255,ICICIBANK442,2023-08-28
C1022,SCH001,STU022,AmazonPay,4045,4045,Pending,ORD1256,HDFCBANK917,2024-07-19
C1023,SCH007,STU023,PhonePe,1697,1797,Success,ORD1257,AXISBANK131,2023-05-23
C1024,SCH017,STU024,PhonePe,4076,4176,Success,ORD1258,YESBNK581,2024-02-15
C1025,SCH002,STU025,Paytm,2676,2676,Pending,ORD1259,SBIN568,2024-03-08
C1026,SCH020,STU026,AmazonPay,3422,3522,Failed,ORD1260,AXISBANK962,2023-11-12
C1027,SCH004,STU027,AmazonPay,1651,1701,Failed,ORD1261,ICICIBANK697,2023-04-27
C1028,SCH002,STU028,AmazonPay,4340,4390,Failed,ORD1262,YESBNK266,2025-02-22
C1029,SCH013,STU029,GPay,2907,3007,Pending,ORD1263,YESBNK758,2023-07-18
C1030,SCH012,STU030,AmazonPay,4222,4322,Success,ORD1264,SBIN532,2024-09-11
C1031,SCH009,STU031,AmazonPay,2837,2837,Failed,ORD1265,ICICIBANK542,2023-08-02
C1032,SCH010,STU032,AmazonPay,1701,1751,Failed,ORD1266,AXISBANK165,2024-06-24
C1033,SCH020,STU033,AmazonPay,4863,4963,Success,ORD1267,YESBNK817,2024-11-29
C1034,SCH002,STU034,GPay,1632,1832,Failed,ORD1268,HDFCBANK154,2023-10-19
C1035,SCH008,STU035,GPay,1798,1898,Failed,ORD1269,YESBNK113,2024-08-27
C1036,SCH011,STU036,PhonePe,4173,4173,Success,ORD1270,YESBNK896,2023-09-06
C1037,SCH007,STU037,GPay,3867,4067,Pending,ORD1271,HDFCBANK330,2024-01-04
C1038,SCH002,STU038,GPay,4620,4820,Success,ORD1272,AXISBANK325,2024-05-25
C1039,SCH017,STU039,PhonePe,4983,5033,Success,ORD1273,YESBNK455,2025-04-15
C1040,SCH017,STU040,GPay,3131,3331,Failed,ORD1274,AXISBANK582,2023-12-28
C1041,SCH019,STU041,PhonePe,1611,1711,Success,ORD1275,YESBNK882,2023-03-30
C1042,SCH005,STU042,AmazonPay,4337,4537,Failed,ORD1276,ICICIBANK434,2024-07-01
C1043,SCH018,STU043,PhonePe,4654,4704,Failed,ORD1277,YESBNK359,2024-10-03
C1044,SCH010,STU044,AmazonPay,4764,4964,Failed,ORD1278,SBIN957,2024-02-09
C1045,SCH005,STU045,GPay,2671,2671,Success,ORD1279,SBIN882,2023-06-22
C1046,SCH013,STU046,GPay,1186,1386,Pending,ORD1280,AXISBANK834,2024-03-16
C1047,SCH003,STU047,GPay,4368,4468,Pending,ORD1281,HDFCBANK716,2024-08-05
C1048,SCH007,STU048,PhonePe,3061,3061,Failed,ORD1282,ICICIBANK160,2023-04-10
C1049,SCH001,STU049,Paytm,3250,3350,Failed,ORD1283,SBIN879,2024-12-03
C1050,SCH006,STU050,Paytm,2427,2527,Pending,ORD1284,HDFCBANK142,2025-01-11
